검색조건
대출기간,2020-01-01 ~ 2020-01-30
성별,전체
연령,전체
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2020-01-30
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"150","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,홍거북","아울북","2005-2019","43","9788950977306","77720","711.4","650",
"151","오싹오싹 팬티! ","글: 에런 레이놀즈 ;옮김: 홍연미","토토북","2018","","9788964963678","77840","843","649",
"152","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,홍거북","아울북","2005-2019","42","9788950975739","77720","711.4","646",
"152","인생의 마지막 순간에서 :죽음과 죽어감에 관한 실질적 조언 ","샐리 티스데일 지음 ;박미경 옮김","로크미디어","2019","","9791135433245","03840","844","646",
"154","(내 멋대로) 친구 뽑기 ","최은옥 글 ;김무연 그림","김영사","2016","","9788934993483","73810","813.7","645",
"155","나는 나의 주인 ","채인선 글 ;안은진 그림","토토북","2010","","9788964960035","73190","189","644",
"156","골든아워 :생과 사의 경계, 중증외상센터의 기록 ","지은이: 이국종","흐름출판","2018","2","9788965962830","04810","510.4","643",
"157","(비울수록 사람을 더 채우는) 말그릇 ","김윤나 지음","카시오페아","2017","","9791185952987","03190","189.2","642",
"158","신경 끄기의 기술 :인생에서 가장 중요한것만 남기는 힘 ","마크 맨슨 지음 ;한재호 옮김","웅진씽크빅","2017","","9788901219943","03190","199.1","639",
"158","옥상에서 만나요 :정세랑 소설집 ","지은이: 정세랑","창비","2018","","9788936437534","03810","813.7","639",
"160","바삭바삭 갈매기 ","전민걸 글·그림","한림출판사","2014","","9788970947273","77810","813.7","638",
"160","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","11","9791190182737","67400","408","638",
"162","페인트 - 제12회 창비청소년문학상 수상작","이희영 (지은이)","창비","2019","","9788936456894","","","637",
"162","초등 자존감 수업 :불안을 이기는 엄마가 아이의 자존감을 키운다 ","윤지영 지음","카시오페아","2019","","9791188674855","03590","598.124","637",
"164","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,홍거북","아울북","2005-2019","41","9788950973223","77720","711.4","633",
"164","설민석의 세계사 대모험 3 - 독일 편 : 전쟁과 평화","설민석, 잼 스토리 (지은이), 박성일 (그림)","단꿈아이","2019","3","9791189001322","","","633",
"166","13층 나무 집 ","앤디 그리피스 글 ;신수진 옮김","시공사","2015","","9788952773104","74840","843","632",
"167","오직 한 사람의 차지 :김금희 소설 ","지은이: 김금희","문학동네","2019","","9788954657273","03810","813.7","631",
"168","아이를 위한 하루 한 줄 인문학 :내면의 힘이 탄탄한 아이를 만드는 인생 문장 100 ","김종원 지음","청림출판","2018","","9791188700288","13590","598.1","627",
"169","꽃을 보듯 너를 본다 :나태주 인터넷 시집 ","지은이: 나태주","지혜","2015","","9791157280292","03810","811.7","626",
"169","연애의 행방 ","히가시노 게이고 지음 ;양윤옥 옮김","소미미디어","2018","","9791161903538","03830","833.6","626",
"171","이기적 유전자 :진화론의 새로운 패러다임 ","리처드 도킨스 지음 ;이상임 옮김","을유문화사","2010","","9788932471631","03470","491.51","623",
"171","(댄 애리얼리) 부의 감각 ","댄 애리얼리,이경식 옮김","청림출판","2018","","9788935212224","03320","327.2","623",
"171","체리새우 : 비밀글입니다 - 제9회 문학동네청소년문학상 대상 수상작","황영미 (지은이)","문학동네","2019","","9788954654753","","","623",
"171","추리 천재 엉덩이 탐정과 카레 사건","트롤 (지은이), 김정화 (옮긴이)","아이세움","2019","","9791164130764","","","623",
"175","여자 둘이 살고 있습니다 :혼자도 결혼도 아닌, 조립식 가족의 탄생 ","지은이: 김하나,황선우","위즈덤하우스","2019","","9791189709815","03810","818","622",
"176","어떻게 살 것인가 ","지은이: 유시민","아름다운사람들","2013","","9788965132288","03810","340.4","621",
"177","아홉 명의 완벽한 타인들 ","지은이: 리안 모리아티 ;옮긴이: 김소정","한국경제신문 한경BP","2019","","9788947545211","03840","843.6","619",
"177","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018-2019","10","9788950983369","74900","980.2","619",
"177","(설민석의) 통일 대모험 ","글: 설민석,그림: 원프로","휴먼큐브","2018","1","9791188874187","74910","911","619",
"180","지하 100층짜리 집 ","글·그림: 이와이 도시오 ;옮긴이: 김숙","북뱅크","2011","","9788989863915","73830","833.6","618",
"181","이상한 손님","백희나","책읽는곰","2018","","9791158360801","","","617",
"182","21세기를 위한 21가지 제언 :더 나은 오늘은 어떻게 가능한가 ","지은이: 유발 하라리 ;옮긴이: 전병근","김영사","2018","","9788934982975","03900","909.6","610",
"182","난장이가 쏘아올린 작은 공:조세희 소설집","조세희","이성과 힘","2000","","9788995151204","03810","813.6","610",
"184","틀려도 괜찮아","마키타 신지 글;유문조 옮김","토토북","2006","","9788990611260","77830","833.6","606",
"184","잊기 좋은 이름 :김애란 산문 ","지은이: 김애란","열림원","2019","","9791170400011","02810","814.7","606",
"186","감기 걸린 물고기","박정섭 (지은이)","사계절","2016","","9788958284482","","","604",
"187","피프티 피플 :정세랑 장편소설 ","지은이: 정세랑","창비","2016","","9788936434243","03810","813.7","603",
"188","좋은지 나쁜지 누가 아는가 ","지은이: 류시화 ;그림: 미로코 마치코","더숲","2019","","9791186900789","03810","814.62","599",
"189","내 멋대로 아빠 뽑기","최은옥 (지은이), 김무연 (그림)","주니어김영사","2017","","9788934993711","","","598",
"190","엄마 자판기","조경희 (지은이)","노란돼지","2019","","9791159950681","","","596",
